,valid_start,AIR_TEMP,AIR_TEMP_MAX,AIR_TEMP_MIN,PRCP,total_demand,demand_prediction
0,2015-04-30 14:00:00,9.085135135135134,9.381081081081081,8.33108108108108,0.0,11174.56,10384.683757769879
1,2015-04-30 15:00:00,8.638356164383563,9.053424657534245,7.994520547945206,0.0,11179.93,10402.01505868277
2,2015-04-30 16:00:00,8.368493150684932,8.73972602739726,7.736986301369862,0.0,11205.02,10567.18626504485
3,2015-04-30 17:00:00,8.087671232876712,8.54109589041096,7.498630136986301,0.0,11547.6,10556.31786936452
4,2015-04-30 18:00:00,7.9671232876712335,8.35068493150685,7.397260273972603,0.0,12290.58,10746.200098568112
5,2015-04-30 19:00:00,7.786301369863013,8.212328767123287,7.124657534246576,0.0027397260273972603,12912.529999999999,10565.31998348302
6,2015-04-30 20:00:00,7.598630136986302,8.106849315068493,7.075342465753424,0.0,12483.17,10716.507283228337
7,2015-04-30 21:00:00,7.6589041095890416,9.67945205479452,7.410958904109589,0.008219178082191782,11946.02,10232.90431706002
8,2015-04-30 22:00:00,9.694520547945206,12.67945205479452,9.593150684931507,0.005479452054794521,11238.73,9850.298437216536
9,2015-04-30 23:00:00,12.631081081081081,15.405405405405405,12.51081081081081,0.0,10547.119999999999,9793.10833649524
10,2015-05-01 00:00:00,15.255405405405407,17.464864864864865,15.022972972972974,0.0,10828.58,9257.696838351902
11,2015-05-01 01:00:00,17.14324324324324,18.874324324324323,16.8472972972973,0.0,9957.02,8984.413755749356
12,2015-05-01 02:00:00,18.487837837837837,19.80675675675676,18.094594594594593,0.0,9194.49,8913.13852689695
13,2015-05-01 03:00:00,19.302702702702703,20.36216216216216,18.805405405405406,0.0,8697.71,8998.286003309306
14,2015-05-01 04:00:00,19.752702702702702,20.45945945945946,19.125675675675677,0.0,8499.61,9471.90793671925
15,2015-05-01 05:00:00,19.75945945945946,20.174324324324324,18.91756756756757,0.0,8540.04,9966.81625823025
16,2015-05-01 06:00:00,19.16756756756757,19.38108108108108,17.75945945945946,0.0,9087.119999999999,9957.101351325404
17,2015-05-01 07:00:00,17.76081081081081,17.835135135135136,15.212162162162162,0.0,10615.310000000001,9723.627517986115
18,2015-05-01 08:00:00,15.325675675675674,15.545945945945947,13.82027027027027,0.0,11817.029999999999,9545.904606023807
19,2015-05-01 09:00:00,14.017567567567568,14.356756756756758,12.966216216216216,0.0,11927.18,9509.724276120778
20,2015-05-01 10:00:00,13.248648648648649,13.736486486486486,12.501351351351351,0.0,11262.84,9520.73504507542
21,2015-05-01 11:00:00,13.033783783783784,13.445945945945946,12.304054054054054,0.0,10957.41,9733.780148779977
22,2015-05-01 12:00:00,12.724324324324325,13.105405405405405,11.99189189189189,0.0,10896.54,9817.671315969903
23,2015-05-01 13:00:00,12.41081081081081,12.793243243243245,11.636486486486486,0.0,10890.8,9766.927788855977
24,2015-05-01 14:00:00,12.087837837837839,12.501351351351351,11.535135135135135,0.0,10836.46,10080.622243639551
25,2015-05-01 15:00:00,11.96081081081081,12.555405405405406,11.421621621621622,0.0,10858.92,9728.213957721837
26,2015-05-01 16:00:00,12.055405405405406,12.516216216216216,11.512162162162161,0.0027397260273972603,10867.77,9989.883512309894
27,2015-05-01 17:00:00,11.917567567567568,12.547297297297296,11.52837837837838,0.0,11136.46,9987.50492254319
28,2015-05-01 18:00:00,12.195945945945946,12.754054054054054,11.812162162162162,0.005479452054794521,11776.46,10113.299426856927
29,2015-05-01 19:00:00,12.347297297297297,12.89054054054054,11.972972972972974,0.0027397260273972603,12061.74,10158.4344025789
30,2015-05-01 20:00:00,12.574324324324325,12.93108108108108,12.182432432432432,0.005479452054794521,11452.84,10542.78440475304
31,2015-05-01 21:00:00,12.501351351351351,13.097297297297297,12.2,0.01917808219178082,10863.4,10216.111062159165
32,2015-05-01 22:00:00,12.932876712328767,14.184931506849315,12.743835616438355,0.03561643835616438,10224.470000000001,9670.533357752382
33,2015-05-01 23:00:00,14.013513513513514,15.51891891891892,13.83108108108108,0.008219178082191782,9709.79,9482.920316701508
34,2015-05-02 00:00:00,15.289189189189191,16.62837837837838,15.02027027027027,0.0136986301369863,10161.150000000001,9225.840393159851
35,2015-05-02 01:00:00,16.256756756756758,17.85945945945946,16.004054054054052,0.01917808219178082,9273.65,9147.329313944445
36,2015-05-02 02:00:00,17.482432432432432,18.89189189189189,17.05135135135135,0.024657534246575342,8445.82,8722.794409494782
37,2015-05-02 03:00:00,18.40135135135135,19.527027027027028,17.885135135135137,0.0,7830.9400000000005,8816.56882272568
38,2015-05-02 04:00:00,18.78648648648649,19.82702702702703,18.277027027027028,0.0027397260273972603,7400.5599999999995,8969.091219193717
39,2015-05-02 05:00:00,19.15135135135135,19.624324324324323,18.471621621621622,0.0027397260273972603,7264.950000000001,9982.288948516049
40,2015-05-02 06:00:00,18.844594594594593,19.104054054054053,17.71891891891892,0.0,7463.66,10016.412657880228
41,2015-05-02 07:00:00,17.82162162162162,17.92027027027027,15.859459459459458,0.01917808219178082,8173.08,9847.678273265738
42,2015-05-02 08:00:00,15.954054054054053,16.11081081081081,14.52972972972973,0.0273972602739726,8670.96,9785.160978491753
43,2015-05-02 09:00:00,14.761643835616438,15.14109589041096,13.63013698630137,0.06301369863013699,9320.75,9299.615639799746
44,2015-05-02 10:00:00,14.034246575342467,14.443835616438358,12.905479452054795,0.0,9571.85,9273.068339921538
45,2015-05-02 11:00:00,13.365753424657536,13.756164383561645,12.284931506849315,0.0,9573.69,9368.295924403708
46,2015-05-02 12:00:00,12.638356164383563,13.068493150684931,11.604109589041096,0.0027397260273972603,9427.91,9348.800688199459
47,2015-05-02 13:00:00,11.997260273972604,12.416438356164383,10.968493150684932,0.010958904109589041,9122.59,9415.696531670605
48,2015-05-02 14:00:00,11.295890410958904,11.676712328767122,10.378082191780821,0.0,8838.779999999999,9678.206917862877
49,2015-05-02 15:00:00,10.804109589041097,11.20958904109589,9.897260273972602,0.005479452054794521,8800.97,9690.178721382428
50,2015-05-02 16:00:00,10.306756756756757,10.797297297297296,9.562162162162162,0.005479452054794521,8814.09,9789.81818823019
51,2015-05-02 17:00:00,10.090540540540541,10.55,9.30135135135135,0.01917808219178082,9307.98,9814.978404376405
52,2015-05-02 18:00:00,9.751351351351351,10.227027027027026,8.95945945945946,0.0136986301369863,10126.3,9843.209197467735
53,2015-05-02 19:00:00,9.447297297297297,9.91891891891892,8.8,0.0,10630.24,10122.298534972364
54,2015-05-02 20:00:00,9.27027027027027,9.693243243243243,8.664864864864866,0.019178082191780823,10220.990000000002,10307.000742134378
55,2015-05-02 21:00:00,9.166216216216215,10.412162162162161,8.864864864864865,0.008219178082191782,9888.64,9982.012162666817
56,2015-05-02 22:00:00,10.345945945945946,12.487837837837839,10.26081081081081,0.005479452054794521,9454.68,10203.47344625862
57,2015-05-02 23:00:00,12.45945945945946,14.355405405405405,12.285135135135135,0.0,9288.54,9576.478795886975
58,2015-05-03 00:00:00,14.22837837837838,15.710810810810809,13.912162162162161,0.0,9976.369999999999,9053.713598217819
59,2015-05-03 01:00:00,15.30135135135135,16.57972972972973,14.962162162162162,0.0027397260273972603,9275.720000000001,9065.419288979569
60,2015-05-03 02:00:00,16.1472972972973,17.166216216216217,15.683783783783783,0.008219178082191782,8572.34,9018.272971084056
61,2015-05-03 03:00:00,16.522972972972973,17.444594594594594,16.037837837837838,0.0027397260273972603,8023.49,9122.687469331511
62,2015-05-03 04:00:00,16.805405405405406,17.472972972972972,16.30675675675676,0.0,7725.54,9608.16590041202
63,2015-05-03 05:00:00,16.82702702702703,17.21891891891892,16.1,0.005479452054794521,7614.09,9908.809325853013
64,2015-05-03 06:00:00,16.35945945945946,16.62162162162162,15.182432432432432,0.00821917808219178,7701.889999999999,9697.790089272306
65,2015-05-03 07:00:00,15.244594594594593,15.350000000000001,13.13783783783784,0.0,8120.35,9624.4496279005
66,2015-05-03 08:00:00,13.18918918918919,13.32162162162162,11.817567567567568,0.0,8456.33,9807.226266436282
67,2015-05-03 09:00:00,11.994594594594595,12.233783783783784,10.90135135135135,0.0,8779.74,9781.612061182506
68,2015-05-03 10:00:00,11.213513513513513,11.475675675675676,10.17837837837838,0.0,8981.66,9837.831232783854
69,2015-05-03 11:00:00,10.494594594594595,10.812162162162162,9.56081081081081,0.0027397260273972603,8976.95,9890.623276037706
70,2015-05-03 12:00:00,9.89054054054054,10.254054054054054,9.124324324324325,0.0,8879.91,10083.671252679782
71,2015-05-03 13:00:00,9.47972972972973,9.866216216216216,8.697297297297297,0.0027397260273972603,8786.470000000001,10083.234925933095
72,2015-05-03 14:00:00,9.131081081081081,9.46081081081081,8.244594594594595,0.005479452054794521,8729.35,10134.859457250543
